trial,pFinf,pFnoninf,pO,past_rew_ch,past_rew_unch,past_Finf_ch,past_Finf_unch,past_Fnoninf_ch,past_Fnoninf_unch,past_O_ch,past_O_unch,subj,rts
105.0,-0.3677247801253173,0.3677247801253173,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3639.0,1.1224
106.0,-0.44183275227903906,0.7731898882334817,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3639.0,0.9292
107.0,-0.44183275227903906,-0.8472978603872034,-1.0986122886681093,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3639.0,0.8259
108.0,-0.3677247801253173,0.7731898882334817,2.197224577336219,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3639.0,1.2732999999999999
109.0,0.8472978603872034,0.8472978603872034,1.0986122886681093,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3639.0,0.8344
110.0,0.7731898882334817,0.3677247801253173,1.945910149055313,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3639.0,1.9031
111.0,-0.3677247801253173,0.8472978603872034,1.945910149055313,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3639.0,1.0048
112.0,-0.7731898882334817,-0.44183275227903906,-2.197224577336219,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3639.0,1.0148
113.0,0.8472978603872034,-0.7731898882334817,2.197224577336219,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3639.0,1.779
114.0,0.3677247801253173,0.44183275227903906,2.197224577336219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.9168999999999999
115.0,-0.8472978603872034,-0.7731898882334817,-2.197224577336219,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.7943
116.0,-0.7731898882334817,0.44183275227903906,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3639.0,0.7411
117.0,0.44183275227903906,-0.7731898882334817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.9876
118.0,-0.7731898882334817,0.8472978603872034,2.197224577336219,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3639.0,0.8209
119.0,-0.44183275227903906,-0.7731898882334817,-2.197224577336219,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3639.0,2.2432
120.0,0.8472978603872034,-0.3677247801253173,1.945910149055313,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3639.0,2.1267
121.0,0.3677247801253173,-0.8472978603872034,-1.945910149055313,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.8697999999999999
122.0,0.3677247801253173,0.3677247801253173,1.945910149055313,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3639.0,1.3882999999999999
123.0,-0.3677247801253173,-0.7731898882334817,-1.945910149055313,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3639.0,1.2955
124.0,-0.8472978603872034,0.3677247801253173,-1.945910149055313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3639.0,0.7631
125.0,0.7731898882334817,-0.7731898882334817,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3639.0,0.5522
126.0,0.8472978603872034,0.3677247801253173,2.197224577336219,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3639.0,0.8125
127.0,-0.8472978603872034,0.7731898882334817,-2.197224577336219,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3639.0,0.8699
1.0,0.7731898882334817,0.8472978603872034,2.197224577336219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8397.0,3.2201
